school_id,teach_id,child_id,lit_pretest,math_pretest,lit_posttest,math_posttest,ses,female,black,hisp,asian,nohsdip,ba,maprofdeg,nonenghome,pct_frpl,private,fullday
1142,1142T03,1142012C,29.39,16.5,39.49,24.8,-0.87,0,0,1,0,1,0,0,1,,0,0
1256,1256T06,1256022C,31.94,19.37,33.71,32.68,-0.85,1,0,1,0,0,0,0,0,,0,0
0048,0048T01,0048002C,54.24,38.11,63.71,41.8,1.78,0,0,0,0,0,0,1,0,0,1,0
0362,0362T01,0362004C,46.7,41.56,57.65,83.03,0.13,0,0,0,0,0,1,0,0,13.68,0,1
0417,0417T01,0417006C,41.96,25.75,44.81,38.85,1.18,1,0,0,0,0,0,1,0,,0,0
3039,3039T02,3039007C,32.43,,39.79,28.1,-0.37,1,0,0,0,0,0,0,1,47.22,0,
0387,0387T03,0387019C,,14.51,46.3614,20.89,-0.77,0,0,1,0,1,0,0,1,29.7,0,
1247,1247T05,1247016C,,20.1,42.38404,21.07,-0.64,0,0,1,0,0,0,0,1,,0,0
0707,0707T06,0707023C,,,42.59,29.28,-0.3,1,0,1,0,0,0,0,,,0,1
0216,0216T01,0216002C,27.34,20.29,44.16,44.51,0.17,1,1,0,0,0,0,0,0,74.93,0,1
0339,0339T02,0339022C,36.37,25.33,50.38,39.58,1.54,0,1,0,0,0,0,1,0,42.25,1,
0133,0133T04,0133007C,30.87,23.34,46.66,27.28,0.4,1,0,0,0,0,0,0,0,9.91,0,1
1040,1040T01,1040005C,46.54,48.95,56.67,59.69,0.41,0,0,0,0,0,0,0,0,0,1,1
0430,0430T01,0430004C,29.72,23.36,47.29,35.19,0.97,0,0,0,0,0,1,0,0,,0,1
0528,0528T01,0528011C,49.9,43.39,52.54,44.04,0.5,1,0,0,0,0,1,0,0,21.15,0,0
0196,0196T01,0196020C,32.25,26.32,46.13,37.98,0.24,1,0,0,0,0,0,0,0,6.77,1,1
0529,0529T03,0529020C,40.52,32.31,57.37,34.35,-0.4,1,0,0,0,0,0,0,0,5.24,1,1
0116,0116T02,0116006C,35.81,25.66,45.87,41.92,1.78,1,0,0,0,0,0,1,0,5.42,0,1
0450,0450T01,0450018C,27.63,29.38,40.39,43.97,-0.51,0,0,1,0,0,0,0,0,50.65,0,1
0020,0020T01,0020001C,41.12,22.33,46.02,30.47,-0.12,1,0,0,0,0,0,0,0,,0,0
1247,1247T02,1247002C,36.12,20.4,40.45,27.54,-0.34,0,0,1,0,0,0,0,0,,0,0
0949,0949T08,0949001C,,19.37,50.07133,28.93,-1.21,1,0,1,0,1,0,0,1,,0,
0361,0361T01,0361015C,36.63,41.58,47.73,40.92,-0.14,1,0,0,0,0,1,0,0,4.15,1,0
1098,1098T04,1098017C,,20.17,42.85,30.56,-1.26,0,0,1,0,1,0,0,1,82.51,0,0
0390,0390T01,0390019C,48.67,38.83,52.81,41.12,0.52,1,0,1,0,0,0,0,0,0,1,0
0110,0110T03,0110016C,31.32,17.19,33.55,19.68,-0.8,0,1,0,0,0,0,0,0,,0,1
1166,1166T05,1166003C,33.97,27.11,56.57,35.58,-1.56,0,0,0,1,0,0,0,0,14.18,0,0
0687,0687T01,0687005C,45.44,34.45,77.61,48.34,0.59,1,0,0,0,0,1,0,0,2.88,0,1
0392,0392T04,0392016C,,,48.50932,27.15938,-1.84,0,1,0,0,1,0,0,,93,0,1
